B,G,R,OUT
40,88,59,0
147,28,243,1
41,12,157,0
4,219,228,1
255,238,253,1
33,38,77,0
38,11,185,1
52,19,158,1
13,242,223,1
141,50,230,1
35,9,139,1
110,25,253,1
90,20,241,1
48,106,78,0
48,120,73,0
22,50,81,0
119,151,132,0
61,58,107,0
18,39,101,0
27,144,236,0
220,188,253,1
197,142,161,1
213,193,86,1
2,2,204,1
197,179,180,1
120,66,5,1
215,177,253,1
244,225,174,1
115,64,108,1
158,146,234,1
46,109,77,0
3,7,1,0
25,46,84,0
1,92,37,0
18,63,14,0
33,105,63,0
4,95,50,0
4,38,14,0
3,59,16,0
42,108,66,0
6,11,26,1
204,189,220,1
57,191,221,1
216,227,225,1
30,136,197,1
62,65,187,1
110,110,110,1
234,235,233,1
62,40,128,1
151,172,168,1
18,18,18,0
63,81,34,0
30,108,121,0
14,26,20,0
150,164,152,0
8,8,8,0
88,160,118,0
56,73,39,0
42,157,60,0
69,112,115,0
253,22,243,1
57,0,6,1
1,33,246,1
238,96,243,1
237,80,255,1
196,1,165,1
76,0,60,1
0,4,4,1
255,15,239,1
211,1,221,1
3,78,86,0
94,128,181,0
1,6,4,0
2,3,47,0
0,87,97,0
8,3,126,0
153,238,246,0
23,40,3,0
7,96,110,0
77,123,81,0
131,233,245,1
144,183,215,1
142,95,217,1
86,158,175,1
119,72,228,1
220,225,250,1
140,82,224,1
174,198,250,1
150,221,248,1
112,192,233,1
6,57,37,0
0,43,26,0
22,114,65,0
74,130,81,0
134,118,212,0
153,202,252,0
153,108,248,0
5,17,11,0
4,57,37,0
121,154,109,0
1,4,172,1
146,129,250,1
87,65,153,1
202,187,244,1
1,4,196,1
165,135,224,1
142,142,202,1
136,113,251,1
5,28,234,1
119,102,145,1
135,148,132,0
14,24,18,0
18,33,49,0
166,175,165,0
17,23,58,0
8,22,18,0
12,26,25,0
19,57,29,0
11,40,67,0
28,81,54,0
218,220,220,1
16,97,134,1
0,188,216,1
227,232,231,1
245,250,249,1
235,241,240,1
167,172,171,1
21,83,124,1
63,115,127,1
225,230,229,1
76,45,30,0
117,160,109,0
177,194,167,0
53,27,13,0
53,100,44,0
128,141,95,0
117,11,76,0
101,175,79,0
110,132,84,0
108,146,98,0
1,8,41,1
255,218,255,1
81,0,177,1
237,90,252,1
57,0,157,1
124,40,142,1
255,194,242,1
159,29,254,1
250,184,236,1
133,24,157,1
80,47,92,0
141,148,187,0
49,53,48,0
93,51,106,0
92,95,109,0
99,105,142,0
41,39,61,0
12,46,36,0
24,30,35,0
8,13,11,0
246,246,246,1
45,4,101,1
242,88,171,1
145,92,213,1
240,92,164,1
109,15,56,1
250,108,179,1
139,13,132,1
20,1,40,1
133,18,62,1
27,64,68,0
14,44,15,0
25,148,108,0
10,34,4,0
13,38,28,0
168,254,244,0
57,141,176,0
201,208,205,0
17,36,21,0
205,167,185,0
27,14,28,1
24,44,75,1
20,108,154,1
223,127,251,1
54,17,57,1
54,21,95,1
145,62,218,1
241,164,255,1
193,121,197,1
6,7,11,1
13,12,8,0
18,51,36,0
68,98,69,0
13,170,80,0
29,17,37,0
19,14,46,0
54,95,68,0
41,20,89,0
14,162,78,0
13,6,11,0
4,0,7,1
174,225,245,1
0,0,6,1
191,84,247,1
84,54,25,1
204,205,163,1
244,239,241,1
2,99,2,1
156,126,0,1
68,224,254,1
149,149,149,0
179,151,220,0
126,166,191,0
136,126,186,0
135,147,135,0
172,188,200,0
129,145,198,0
147,157,145,0
150,178,185,0
167,141,147,0
5,0,153,1
95,154,233,1
62,127,235,1
8,9,167,1
115,181,234,1
53,123,200,1
58,133,233,1
124,171,239,1
83,141,217,1
121,182,232,1
4,50,67,0
18,57,71,0
4,39,12,0
5,99,74,0
35,65,0,0
5,24,21,0
48,48,42,0
31,40,0,0
8,28,15,0
4,103,77,0
40,141,116,1
94,186,161,1
173,199,185,1
192,93,49,1
95,22,14,1
25,62,36,1
157,67,37,1
196,96,48,1
137,46,9,1
27,162,124,1
5,60,5,0
13,87,21,0
1,1,1,0
24,58,57,0
13,65,88,0
138,194,143,0
12,38,15,0
2,4,4,0
10,74,68,0
12,40,11,0
7,157,204,1
255,252,248,1
3,44,46,1
219,206,204,1
6,206,253,1
255,252,248,1
6,143,199,1
0,155,164,1
224,210,204,1
2,127,188,1
196,165,156,0
128,185,187,0
114,183,168,0
148,175,159,0
189,180,166,0
11,115,50,0
141,179,161,0
13,101,41,0
102,189,175,0
128,179,171,0
150,189,204,1
159,79,232,1
35,7,150,1
46,204,252,1
42,31,101,1
229,171,252,1
171,79,238,1
138,172,218,1
46,196,227,1
103,40,213,1
2,2,2,0
17,81,39,0
36,123,67,0
46,46,32,0
55,64,101,0
136,136,72,0
51,86,59,0
51,105,68,0
75,65,35,0
51,68,54,0
48,59,67,1
8,15,40,1
0,15,48,1
0,93,203,1
2,240,251,1
0,172,220,1
3,147,253,1
5,81,164,1
1,162,212,1
12,140,255,1
255,246,233,0
1,214,169,0
249,214,170,0
70,113,100,0
48,69,47,0
255,255,255,0
2,197,255,0
3,105,64,0
240,205,162,0
34,51,17,0
0,134,193,1
108,33,255,1
0,1,5,1
18,1,194,1
172,119,246,1
0,0,119,1
99,12,224,1
38,1,201,1
112,49,253,1
46,3,190,1
227,219,206,0
0,162,84,0
