index,tiempo
0,313
1,289
2,307
3,282
4,313
5,313
6,313
7,313
8,299
9,351
10,446
11,358
12,401
13,464
14,495
15,471
16,474
17,561
18,632
19,611
20,492
21,526
22,551
23,575
24,70023
25,685
26,614
27,608
28,391
29,384
30,309
31,260
32,288
33,316
34,369
35,320
36,372
37,281
38,330
39,324
40,335
41,328
42,377
43,1094
44,541
45,586
46,600
47,631
48,606
49,674
50,667
51,519
52,516
53,456
54,554
55,527
56,576
57,576
58,606
59,585
60,575
61,565
62,517
63,426
64,468
65,474
66,519
67,534
68,487
69,502
70,523
71,562
72,481
73,548
74,488
75,512
76,540
77,536
78,481
79,433
80,408
81,398
82,387
83,384
84,306
85,275
86,254
87,274
88,204
89,184
90,248
91,720
92,624
93,309
94,281
95,376
96,352
97,428
98,428
99,554
100,561
101,611
102,775
103,827
104,845
105,971
106,1041
107,1121
108,1146
109,1206
110,1258
111,1339
112,1367
113,1392
114,1369
115,1321
116,1478
117,1551
118,1612
119,1692
120,1737
121,1772
122,1773
123,1776
124,1940
125,2119
126,2200
127,2305
128,2353
129,2479
130,2661
131,2703
132,2626
133,2839
134,2627
135,2536
136,2360
137,2356
138,2381
139,2388
140,2472
141,2636
142,2637
143,2686
144,2822
145,3214
146,2900
147,2949
148,2974
149,3099
150,3178
151,3191
152,3532
153,2797
154,2945
155,2937
156,2847
157,2405
158,2706
159,2441
160,2578
161,2316
162,2343
163,2336
164,2361
165,2374
166,2270
167,2246
168,2206
169,2178
170,2413
171,2560
172,2564
173,2595
174,2615
175,2745
176,2805
177,2893
178,2707
179,3193
180,3543
181,2945
182,2833
183,3165
184,3287
185,2681
186,2616
187,2942
188,2650
189,2539
190,2375
191,2143
192,2126
193,2353
194,2381
195,2462
196,2582
197,2581
198,2825
199,3188
200,2959
201,3246
202,3253
203,3317
204,2921
205,2969
206,2720
